id,name,abbr,color,photo,gp,g,a,pts,ppg,sog,spct,pim,plusMinus
Nikita_Kucherov,Nikita Kucherov,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476453.jpg,64,40,78,118,1.84,198,20.2,44,44
Connor_McDavid,Connor McDavid,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478402.jpg,71,38,78,116,1.63,257,14.8,34,8
Nathan_MacKinnon,Nathan MacKinnon,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477492.jpg,67,45,69,114,1.7,300,15.0,35,57
Leon_Draisaitl,Leon Draisaitl,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477934.jpg,65,35,62,97,1.49,186,18.8,26,13
Macklin_Celebrini,Macklin Celebrini,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484801.jpg,68,35,61,96,1.41,236,14.8,40,3
David_Pastrnak,David Pastrnak,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477956.jpg,65,28,58,86,1.32,226,12.4,60,1
Nick_Suzuki,Nick Suzuki,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480018.jpg,69,24,61,85,1.23,152,15.8,24,27
Martin_Necas,Martin Necas,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480039.jpg,65,32,52,84,1.29,169,18.9,30,44
Mark_Scheifele,Mark Scheifele,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476460.jpg,69,31,52,83,1.2,147,21.1,24,0
Jason_Robertson,Jason Robertson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480027.jpg,69,38,44,82,1.19,243,15.6,26,22
Kirill_Kaprizov,Kirill Kaprizov,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478864.jpg,69,38,42,80,1.16,242,15.7,28,8
Evan_Bouchard,Evan Bouchard,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480803.jpg,71,19,60,79,1.11,198,9.6,26,15
Kyle_Connor,Kyle Connor,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478398.jpg,69,31,47,78,1.13,226,13.7,16,-2
Matt_Boldy,Matt Boldy,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481557.jpg,67,38,37,75,1.12,225,16.9,28,16
Zach_Werenski,Zach Werenski,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478460.jpg,62,20,55,75,1.21,219,9.1,14,11
Jack_Eichel,Jack Eichel,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478403.jpg,62,24,50,74,1.19,222,10.8,12,9
Wyatt_Johnston,Wyatt Johnston,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482740.jpg,69,37,37,74,1.07,179,20.7,22,-1
Cole_Caufield,Cole Caufield,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481540.jpg,68,43,31,74,1.09,208,20.7,14,21
Alex_DeBrincat,Alex DeBrincat,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479337.jpg,70,35,38,73,1.04,245,14.3,12,7
Artemi_Panarin,Artemi Panarin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478550.jpg,65,24,49,73,1.12,193,12.4,18,-11
Jake_Guentzel,Jake Guentzel,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477404.jpg,68,31,41,72,1.06,181,17.1,51,10
Tim_Stützle,Tim Stützle,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482116.jpg,69,32,40,72,1.04,169,18.9,35,7
Tage_Thompson,Tage Thompson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479420.jpg,70,36,36,72,1.03,239,15.1,29,-4
Sebastian_Aho,Sebastian Aho,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478427.jpg,69,24,47,71,1.03,166,14.5,40,9
Cale_Makar,Cale Makar,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480069.jpg,68,20,50,70,1.03,183,10.9,24,32
Mitch_Marner,Mitch Marner,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478483.jpg,69,19,50,69,1.0,132,14.4,20,14
Quinn_Hughes,Quinn Hughes,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480800.jpg,65,6,63,69,1.06,168,3.6,28,-2
Mikko_Rantanen,Mikko Rantanen,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478420.jpg,54,20,49,69,1.28,126,15.9,87,2
Lane_Hutson,Lane Hutson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8483457.jpg,69,11,58,69,1.0,111,9.9,32,26
Lucas_Raymond,Lucas Raymond,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482078.jpg,68,22,46,68,1.0,148,14.9,14,10
Clayton_Keller,Clayton Keller,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479343.jpg,70,22,45,67,0.96,195,11.3,28,22
Brandon_Hagel,Brandon Hagel,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479542.jpg,63,32,35,67,1.06,183,17.5,54,35
Mika_Zibanejad,Mika Zibanejad,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476459.jpg,68,29,37,66,0.97,179,16.2,12,-21
William_Nylander,William Nylander,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477939.jpg,54,24,41,65,1.2,121,19.8,14,-5
Connor_Bedard,Connor Bedard,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484144.jpg,56,28,37,65,1.16,185,15.1,40,-2
Ryan_O'Reilly,Ryan O'Reilly,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475158.jpg,68,24,40,64,0.94,135,17.8,18,7
Mathew_Barzal,Mathew Barzal,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478445.jpg,69,18,46,64,0.93,154,11.7,59,14
Rasmus_Dahlin,Rasmus Dahlin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480839.jpg,66,15,48,63,0.95,167,9.0,64,13
Mark_Stone,Mark Stone,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475913.jpg,48,21,41,62,1.29,103,20.4,9,13
Cutter_Gauthier,Cutter Gauthier,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8483445.jpg,68,36,26,62,0.91,255,14.1,26,1
Sidney_Crosby,Sidney Crosby,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8471675.jpg,58,28,34,62,1.07,137,20.4,42,0
Drake_Batherson,Drake Batherson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480208.jpg,66,27,34,61,0.92,145,18.6,25,-4
Juraj_Slafkovský,Juraj Slafkovský,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8483515.jpg,69,27,34,61,0.88,151,17.9,44,5
Sam_Reinhart,Sam Reinhart,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477933.jpg,64,29,32,61,0.95,166,17.5,10,-18
Morgan_Geekie,Morgan Geekie,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479987.jpg,69,34,27,61,0.88,158,21.5,18,-5
Nick_Schmaltz,Nick Schmaltz,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477951.jpg,70,24,37,61,0.87,166,14.5,26,22
Travis_Konecny,Travis Konecny,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478439.jpg,65,25,35,60,0.92,144,17.4,55,12
Darren_Raddysh,Darren Raddysh,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478178.jpg,61,18,42,60,0.98,170,10.6,48,24
Filip_Forsberg,Filip Forsberg,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476887.jpg,69,30,29,59,0.86,214,14.0,32,-5
Dylan_Guenther,Dylan Guenther,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482699.jpg,68,34,25,59,0.87,212,16.0,26,6
Adrian_Kempe,Adrian Kempe,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477960.jpg,68,26,33,59,0.87,191,13.6,56,8
Andrei_Svechnikov,Andrei Svechnikov,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480830.jpg,69,25,34,59,0.86,174,14.4,56,1
Kirill_Marchenko,Kirill Marchenko,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480893.jpg,63,25,33,58,0.92,185,13.5,30,5
Miro_Heiskanen,Miro Heiskanen,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480036.jpg,67,9,49,58,0.87,134,6.7,22,16
Alex_Tuch,Alex Tuch,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477949.jpg,67,28,30,58,0.87,164,17.1,49,19
John_Tavares,John Tavares,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475166.jpg,71,25,32,57,0.8,173,14.5,28,-26
Matthew_Knies,Matthew Knies,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482720.jpg,68,18,39,57,0.84,126,14.3,25,-19
Pavel_Dorofeyev,Pavel Dorofeyev,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481604.jpg,70,34,23,57,0.81,196,17.3,22,-3
Bryan_Rust,Bryan Rust,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475810.jpg,62,26,30,56,0.9,162,16.0,18,5
Nikolaj_Ehlers,Nikolaj Ehlers,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477940.jpg,69,20,36,56,0.81,169,11.8,10,6
Seth_Jarvis,Seth Jarvis,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482093.jpg,61,28,28,56,0.92,192,14.6,21,6
Leo_Carlsson,Leo Carlsson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484153.jpg,57,24,32,56,0.98,147,16.3,31,2
Brock_Nelson,Brock Nelson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475754.jpg,68,31,25,56,0.82,164,18.9,28,10
Gabriel_Vilardi,Gabriel Vilardi,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480014.jpg,69,26,30,56,0.81,132,19.7,20,-8
Jack_Hughes,Jack Hughes,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481559.jpg,48,18,37,55,1.15,170,10.6,4,-3
Jesper_Bratt,Jesper Bratt,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479407.jpg,69,17,38,55,0.8,153,11.1,12,-16
Steven_Stamkos,Steven Stamkos,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8474564.jpg,69,33,22,55,0.8,164,20.1,40,-21
Charlie_Coyle,Charlie Coyle,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8475745.jpg,69,17,38,55,0.8,125,13.6,12,11
Dylan_Larkin,Dylan Larkin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477946.jpg,63,28,27,55,0.87,191,14.7,42,7
Trevor_Zegras,Trevor Zegras,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481533.jpg,69,22,33,55,0.8,146,15.1,46,-2
Tomas_Hertl,Tomas Hertl,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476881.jpg,70,24,30,54,0.77,175,13.7,39,-14
Brad_Marchand,Brad Marchand,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8473419.jpg,52,27,27,54,1.04,138,19.6,38,-16
Erik_Karlsson,Erik Karlsson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8474578.jpg,64,11,43,54,0.84,149,7.4,18,14
Auston_Matthews,Auston Matthews,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479318.jpg,60,27,26,53,0.88,227,11.9,18,-4
Sam_Bennett,Sam Bennett,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477935.jpg,68,25,28,53,0.78,177,14.1,76,-9
Anthony_Mantha,Anthony Mantha,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477511.jpg,69,26,27,53,0.77,130,20.0,31,14
Charlie_McAvoy,Charlie McAvoy,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479325.jpg,58,9,44,53,0.91,95,9.5,52,8
Adam_Fantilli,Adam Fantilli,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484166.jpg,69,21,31,52,0.75,185,11.4,34,-10
Tom_Wilson,Tom Wilson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476880.jpg,60,25,27,52,0.87,130,19.2,90,15
Beckett_Sennecke,Beckett Sennecke,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484762.jpg,69,20,32,52,0.75,166,12.0,46,-14
Alex_Ovechkin,Alex Ovechkin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8471214.jpg,70,25,27,52,0.74,201,12.4,24,-3
Evgeni_Malkin,Evgeni Malkin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8471215.jpg,49,15,37,52,1.06,129,11.6,55,14
Ivan_Demidov,Ivan Demidov,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484984.jpg,69,14,38,52,0.75,104,13.5,26,3
Nico_Hischier,Nico Hischier,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480002.jpg,69,24,28,52,0.75,179,13.4,27,-11
Matthew_Schaefer,Matthew Schaefer,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8485366.jpg,70,22,29,51,0.73,176,12.5,36,14
Ryan_Nugent-Hopkins,Ryan Nugent-Hopkins,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476454.jpg,61,18,33,51,0.84,108,16.7,19,-13
Dylan_Cozens,Dylan Cozens,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481528.jpg,69,24,27,51,0.74,166,14.5,53,-9
Pavel_Zacha,Pavel Zacha,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478401.jpg,67,23,28,51,0.76,112,20.5,28,-1
Jakob_Chychrun,Jakob Chychrun,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479345.jpg,68,23,28,51,0.75,203,11.3,55,15
Dylan_Strome,Dylan Strome,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478440.jpg,68,16,34,50,0.74,129,12.4,34,3
Jordan_Eberle,Jordan Eberle,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8474586.jpg,67,22,27,49,0.73,148,14.9,24,6
Carter_Verhaeghe,Carter Verhaeghe,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477409.jpg,67,20,29,49,0.73,161,12.4,32,-11
Tyler_Bertuzzi,Tyler Bertuzzi,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477479.jpg,66,28,21,49,0.74,141,19.9,36,-21
Bo_Horvat,Bo Horvat,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477500.jpg,56,28,21,49,0.88,186,15.1,40,10
Troy_Terry,Troy Terry,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478873.jpg,49,14,35,49,1.0,117,12.0,12,11
Ryan_McLeod,Ryan McLeod,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480802.jpg,70,12,37,49,0.7,83,14.5,12,28
Jake_Sanderson,Jake Sanderson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482105.jpg,62,11,37,48,0.77,133,8.3,8,9
Moritz_Seider,Moritz Seider,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481542.jpg,70,9,39,48,0.69,157,5.7,55,20
Luke_Evangelista,Luke Evangelista,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482146.jpg,68,9,39,48,0.71,144,6.2,14,5
Vincent_Trocheck,Vincent Trocheck,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476389.jpg,54,15,33,48,0.89,95,15.8,50,-16
